,Close
2019-01-02,28.81
2019-01-03,27.99
2019-01-04,29.95
2019-01-07,31.34
2019-01-08,31.8
2019-01-09,32.25
2019-01-10,33.09
2019-01-11,32.87
2019-01-14,32.37
2019-01-15,33.02
2019-01-16,32.47
2019-01-17,32.85
2019-01-18,33.27
2019-01-22,32.25
2019-01-23,30.97
2019-01-24,31.61
2019-01-25,32.9
2019-01-28,33.13
2019-01-29,31.64
2019-01-30,32.26
2019-01-31,33.56
2019-02-01,33.19
2019-02-04,33.94
2019-02-05,34.37
2019-02-06,34.16
2019-02-07,30.8
2019-02-08,30.01
2019-02-11,30.23
2019-02-12,30.39
2019-02-13,31.12
2019-02-14,30.96
2019-02-15,31.23
2019-02-19,31.65
2019-02-20,31.37
2019-02-21,30.76
2019-02-22,31.71
2019-02-25,31.99
2019-02-26,31.01
2019-02-27,30.41
2019-02-28,30.78
2019-03-01,30.62
2019-03-04,30.5
2019-03-05,31.03
2019-03-06,30.8
2019-03-07,30.12
2019-03-08,30.04
2019-03-11,30.87
2019-03-12,31.16
2019-03-13,31.3
2019-03-14,31.03
2019-03-15,31.22
2019-03-18,31.08
2019-03-19,31.27
2019-03-20,32.57
2019-03-21,32.61
2019-03-22,33.02
2019-03-25,32.59
2019-03-26,33.06
2019-03-27,32.28
2019-03-28,32.87
2019-03-29,32.88
2019-04-01,33.44
2019-04-02,33.75
2019-04-03,34.38
2019-04-04,34.42
2019-04-05,34.72
2019-04-08,34.86
2019-04-09,35.14
2019-04-10,34.75
2019-04-11,34.58
2019-04-12,34.37
2019-04-15,34.71
2019-04-16,34.46
2019-04-17,34.48
2019-04-18,34.4
2019-04-22,34.39
2019-04-23,39.77
2019-04-24,39.29
2019-04-25,38.48
2019-04-26,38.67
2019-04-29,39.78
2019-04-30,39.91
2019-05-01,39.29
2019-05-02,39.95
2019-05-03,40.8
2019-05-06,40.23
2019-05-07,38.62
2019-05-08,38.58
2019-05-09,38.79
2019-05-10,38.45
2019-05-13,36.59
2019-05-14,36.93
2019-05-15,37.9
2019-05-16,38.3
2019-05-17,37.5
2019-05-20,37.15
2019-05-21,37.47
2019-05-22,38.58
2019-05-23,37.19
2019-05-24,37.41
2019-05-28,37.29
2019-05-29,36.85
2019-05-30,37.14
2019-05-31,36.44
2019-06-03,34.43
2019-06-04,36.1
2019-06-05,36.33
2019-06-06,36.59
2019-06-07,37.93
2019-06-10,37.64
2019-06-11,37.21
2019-06-12,37.49
2019-06-13,36.34
2019-06-14,36.15
2019-06-17,36.44
2019-06-18,36.65
2019-06-19,36.29
2019-06-20,35.44
2019-06-21,35.02
2019-06-24,35.58
2019-06-25,34.72
2019-06-26,35.22
2019-06-27,34.75
2019-06-28,34.9
2019-07-01,36.08
2019-07-02,36.22
2019-07-03,36.02
2019-07-05,36.25
2019-07-08,36.45
2019-07-09,37.65
2019-07-10,37.47
2019-07-11,37.21
2019-07-12,37.84
2019-07-15,38.68
2019-07-16,37.99
2019-07-17,37.7
2019-07-18,37.66
2019-07-19,36.77
2019-07-22,37.58
2019-07-23,37.9
2019-07-24,38.73
2019-07-25,38.12
2019-07-26,41.52
2019-07-29,41.5
2019-07-30,41.0
2019-07-31,42.31
2019-08-01,42.08
2019-08-02,42.85
2019-08-05,40.37
2019-08-06,41.32
2019-08-07,41.73
2019-08-08,42.07
2019-08-09,41.53
2019-08-12,40.48
2019-08-13,41.81
2019-08-14,40.65
2019-08-15,40.09
2019-08-16,40.58
2019-08-19,41.7
2019-08-20,42.29
2019-08-21,42.8
2019-08-22,42.18
2019-08-23,41.0
2019-08-26,41.44
2019-08-27,42.14
2019-08-28,41.68
2019-08-29,42.49
2019-08-30,42.65
2019-09-03,41.96
2019-09-04,43.36
2019-09-05,45.3
2019-09-06,45.42
2019-09-09,44.26
2019-09-10,43.25
2019-09-11,43.25
2019-09-12,43.2
2019-09-13,42.63
2019-09-16,42.76
2019-09-17,43.24
2019-09-18,43.24
2019-09-19,42.93
2019-09-20,43.23
2019-09-23,43.38
2019-09-24,41.42
2019-09-25,42.5
2019-09-26,42.44
2019-09-27,41.35
2019-09-30,41.2
2019-10-01,40.25
2019-10-02,39.7
2019-10-03,40.0
2019-10-04,40.36
2019-10-07,40.8
2019-10-08,39.7
2019-10-09,39.5
2019-10-10,39.54
2019-10-11,40.36
2019-10-14,39.78
2019-10-15,40.28
2019-10-16,39.91
2019-10-17,39.61
2019-10-18,38.99
2019-10-21,40.09
2019-10-22,38.81
2019-10-23,38.83
2019-10-24,30.75
2019-10-25,30.3
2019-10-28,30.06
2019-10-29,29.85
2019-10-30,29.86
2019-10-31,29.97
2019-11-01,29.62
2019-11-04,30.05
2019-11-05,29.81
