,Close
2017-01-03,97.32
2017-01-04,98.21
2017-01-05,98.08
2017-01-06,98.0
2017-01-09,97.4
2017-01-10,97.5
2017-01-11,94.98
2017-01-12,96.11
2017-01-13,95.12
2017-01-17,96.71
2017-01-18,96.32
2017-01-19,95.26
2017-01-20,95.87
2017-01-23,95.94
2017-01-24,96.65
2017-01-25,96.68
2017-01-26,96.81
2017-01-27,95.73
2017-01-30,94.8
2017-01-31,94.95
2017-02-01,93.78
2017-02-02,97.66
2017-02-03,97.98
2017-02-06,97.82
2017-02-07,97.37
2017-02-08,97.73
2017-02-09,97.9
2017-02-10,98.51
2017-02-13,98.41
2017-02-14,98.79
2017-02-15,98.21
2017-02-16,99.47
2017-02-17,99.62
2017-02-21,100.55
2017-02-22,100.35
2017-02-23,101.56
2017-02-24,102.05
2017-02-27,102.71
2017-02-28,102.73
2017-03-01,102.57
2017-03-02,101.38
2017-03-03,101.09
2017-03-06,100.74
2017-03-07,100.78
2017-03-08,99.96
2017-03-09,98.13
2017-03-10,97.15
2017-03-13,97.76
2017-03-14,98.89
2017-03-15,101.13
2017-03-16,101.22
2017-03-17,101.78
2017-03-20,101.16
2017-03-21,101.15
2017-03-22,101.27
2017-03-23,101.91
2017-03-24,101.91
2017-03-27,101.16
2017-03-28,101.02
2017-03-29,102.03
2017-03-30,101.78
2017-03-31,101.74
2017-04-03,101.77
2017-04-04,102.55
2017-04-05,102.73
2017-04-06,102.79
2017-04-07,101.93
2017-04-10,102.74
2017-04-11,102.85
2017-04-12,101.83
2017-04-13,101.09
2017-04-17,101.72
2017-04-18,101.9
2017-04-19,101.39
2017-04-20,101.56
2017-04-21,101.27
2017-04-24,101.33
2017-04-25,101.47
2017-04-26,101.0
2017-04-27,98.0
2017-04-28,99.21
2017-05-01,99.61
2017-05-02,99.57
2017-05-03,98.44
2017-05-04,99.02
2017-05-05,100.05
2017-05-08,99.41
2017-05-09,98.76
2017-05-10,98.7
2017-05-11,98.79
2017-05-12,98.34
2017-05-15,99.15
2017-05-16,98.7
2017-05-17,99.33
2017-05-18,99.89
2017-05-19,100.0
2017-05-22,100.06
2017-05-23,100.11
2017-05-24,100.53
2017-05-25,100.79
2017-05-26,101.13
2017-05-30,101.05
2017-05-31,101.94
2017-06-01,102.2
2017-06-02,104.29
2017-06-05,105.57
2017-06-06,105.02
2017-06-07,106.79
2017-06-08,107.37
2017-06-09,107.2
2017-06-12,107.4
2017-06-13,108.16
2017-06-14,108.88
2017-06-15,110.0
2017-06-16,110.04
2017-06-19,110.32
2017-06-20,109.87
2017-06-21,110.19
2017-06-22,109.3
2017-06-23,109.18
2017-06-26,108.6
2017-06-27,106.72
2017-06-28,106.25
2017-06-29,105.6
2017-06-30,105.38
2017-07-03,105.9
2017-07-05,105.32
2017-07-06,101.55
2017-07-07,102.37
2017-07-10,100.63
2017-07-11,99.59
2017-07-12,99.83
2017-07-13,99.74
2017-07-14,100.41
2017-07-17,101.24
2017-07-18,100.92
2017-07-19,101.3
2017-07-20,101.01
2017-07-21,101.19
2017-07-24,102.11
2017-07-25,101.41
2017-07-26,102.24
2017-07-27,102.9
2017-07-28,103.71
2017-07-31,103.53
2017-08-01,103.88
2017-08-02,103.85
2017-08-03,103.94
2017-08-04,103.76
2017-08-07,104.02
2017-08-08,104.36
2017-08-09,105.09
2017-08-10,104.48
2017-08-11,104.02
2017-08-14,106.2
2017-08-15,107.1
2017-08-16,106.69
2017-08-17,106.52
2017-08-18,105.77
2017-08-21,107.45
2017-08-22,106.89
2017-08-23,107.62
2017-08-24,107.47
2017-08-25,107.09
2017-08-28,106.33
2017-08-29,105.78
2017-08-30,106.62
2017-08-31,106.46
2017-09-01,106.22
2017-09-05,106.49
2017-09-06,106.37
2017-09-07,107.03
2017-09-08,107.94
2017-09-11,109.11
2017-09-12,107.06
2017-09-13,106.25
2017-09-14,107.01
2017-09-15,108.22
2017-09-18,108.26
2017-09-19,107.7
2017-09-20,107.3
2017-09-21,107.27
2017-09-22,107.16
2017-09-25,106.91
2017-09-26,107.11
2017-09-27,106.05
2017-09-28,105.99
2017-09-29,106.88
2017-10-02,107.2
2017-10-03,107.18
2017-10-04,107.88
2017-10-05,108.26
2017-10-06,107.93
2017-10-09,108.34
2017-10-10,108.52
2017-10-11,108.8
2017-10-12,108.66
2017-10-13,108.78
2017-10-16,107.55
2017-10-17,107.16
2017-10-18,105.82
2017-10-19,105.09
2017-10-20,104.81
2017-10-23,104.41
2017-10-24,104.16
2017-10-25,104.22
2017-10-26,99.72
2017-10-27,100.55
2017-10-30,101.99
2017-10-31,102.35
2017-11-01,103.11
2017-11-02,102.17
2017-11-03,103.39
2017-11-06,104.28
2017-11-07,105.03
2017-11-08,105.61
2017-11-09,105.61
2017-11-10,105.47
2017-11-13,106.03
2017-11-14,103.94
2017-11-15,102.2
2017-11-16,103.14
2017-11-17,102.36
2017-11-20,102.78
2017-11-21,104.59
2017-11-22,104.12
2017-11-24,104.16
2017-11-27,103.29
2017-11-28,102.87
2017-11-29,102.25
2017-11-30,102.44
2017-12-01,102.84
2017-12-04,102.52
2017-12-05,101.41
2017-12-06,102.33
2017-12-07,102.27
2017-12-08,103.13
2017-12-11,102.88
2017-12-12,103.88
2017-12-13,102.57
2017-12-14,102.45
2017-12-15,103.1
2017-12-18,102.95
2017-12-19,99.5
2017-12-20,99.48
2017-12-21,98.77
2017-12-22,99.75
2017-12-26,100.15
2017-12-27,100.07
2017-12-28,100.56
2017-12-29,100.56
2018-01-02,99.6
2018-01-03,99.49
2018-01-04,96.58
2018-01-05,96.15
2018-01-08,96.48
2018-01-09,95.01
2018-01-10,93.91
2018-01-11,92.07
2018-01-12,91.32
2018-01-16,92.2
2018-01-17,92.87
2018-01-18,91.54
2018-01-19,92.52
2018-01-22,93.25
2018-01-23,95.0
2018-01-24,94.61
2018-01-25,94.5
2018-01-26,94.51
2018-01-29,93.25
2018-01-30,92.96
2018-01-31,95.37
2018-02-01,91.75
2018-02-02,91.69
2018-02-05,88.9
2018-02-06,89.19
2018-02-07,87.93
2018-02-08,85.39
2018-02-09,87.75
2018-02-12,87.74
2018-02-13,87.99
